City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
200,Lima,PE,2022-08-31 16:54:29,-12.0432,-77.0282,67.89,69,100,13.8
201,Dingle,PH,2022-08-31 16:55:53,10.9995,122.6711,76.32,90,95,4.41
202,Chokurdakh,RU,2022-08-31 16:55:53,70.6333,147.9167,35.89,77,84,7.49
203,Boundiali,CI,2022-08-31 16:55:53,9.5217,-6.4869,74.7,90,96,2.73
204,Nemuro,JP,2022-08-31 16:55:53,43.3236,145.575,66.0,98,100,7.65
205,Broome,US,2022-08-31 16:55:54,42.2506,-75.833,75.67,56,32,8.01
206,Panaba,MX,2022-08-31 16:55:54,21.2833,-88.2667,84.02,75,92,5.57
207,Swift Current,CA,2022-08-31 16:54:41,50.2834,-107.8014,81.41,32,0,8.05
208,Dobele,LV,2022-08-31 16:55:54,56.625,23.2786,54.95,65,86,11.07
209,Benicarlo,ES,2022-08-31 16:51:14,40.4165,0.4271,91.56,62,44,9.57
210,Codrington,AU,2022-08-31 16:55:55,-38.2667,141.9667,43.75,90,66,9.37
211,Carnarvon,AU,2022-08-31 16:55:55,-24.8667,113.6333,67.01,48,0,22.5
212,Byron Bay,AU,2022-08-31 16:55:55,-28.65,153.6167,56.71,92,20,9.04
213,Gravdal,NO,2022-08-31 16:55:55,68.1214,13.5031,49.89,76,40,6.91
214,Sitka,US,2022-08-31 16:55:56,57.0531,-135.33,58.08,83,77,2.21
215,Gizo,SB,2022-08-31 16:55:56,-8.103,156.8419,80.74,79,100,11.14
216,Hernani,ES,2022-08-31 16:53:00,43.2662,-1.9762,74.43,84,75,3.0
217,Kurchatov,RU,2022-08-31 16:55:56,51.6601,35.6521,67.96,63,62,10.58
218,Awjilah,LY,2022-08-31 16:55:57,29.1081,21.2869,91.92,22,0,12.93
219,Ust-Tsilma,RU,2022-08-31 16:55:57,65.441,52.1498,42.15,63,60,3.98
220,Nelson Bay,AU,2022-08-31 16:55:57,-32.7167,152.15,60.01,99,87,1.99
221,San Matias,BO,2022-08-31 16:55:58,-16.3667,-58.4,100.83,16,0,7.16
222,Bad Kreuznach,DE,2022-08-31 16:55:58,49.8333,7.8667,76.03,54,23,8.55
223,Grindavik,IS,2022-08-31 16:55:58,63.8424,-22.4338,55.35,100,75,20.71
224,Saint-Augustin,CA,2022-08-31 16:55:59,51.226,-58.6502,69.24,85,97,17.05
225,Resistencia,AR,2022-08-31 16:55:59,-27.4606,-58.9839,78.1,45,0,12.66
226,Devils Lake,US,2022-08-31 16:55:59,48.1128,-98.8651,80.71,53,0,5.75
227,Saint-Francois,FR,2022-08-31 16:56:00,46.4154,3.9054,80.04,47,0,6.91
