City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
429,Banjar,ID,75.88,broken clouds,-8.19,114.9675,The Hamsa Resort
433,Tabas,IR,82.62,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
437,Chandbali,IN,81.81,overcast clouds,20.7833,86.7667,Sabitri Bhavan
439,Kulhudhuffushi,MV,80.65,overcast clouds,6.6221,73.07,Haajy Guest House 1
440,La Tuque,CA,77.25,clear sky,47.4334,-72.7824,Appart-Hôtel La Tuque
448,Abu Kamal,SY,86.05,clear sky,34.4506,40.9171,البوكمال
451,Kota Kinabalu,MY,75.18,few clouds,5.9749,116.0724,Gaya Centre Hotel
454,Sorong,ID,78.13,broken clouds,-0.8833,131.25,Waigo Splash Hotel
455,Cordoba,AR,81.75,clear sky,-31.4135,-64.1811,Hotel Sussex
464,Mogadishu,SO,75.38,few clouds,2.0371,45.3438,Hotel Juba
466,Tikrit,IQ,89.08,clear sky,34.6071,43.6782,عماره العبطه
467,Kahului,US,89.62,few clouds,20.8947,-156.47,Maui Seaside Hotel
472,Sumter,US,87.75,overcast clouds,28.7086,-82.0831,Paradise Oaks RV Resort
473,Fare,PF,77.41,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
475,Kavaratti,IN,79.47,overcast clouds,10.5669,72.642,Green leaf
478,Honiara,SB,85.78,broken clouds,-9.4333,159.95,Heritage Park Hotel
480,Lazaro Cardenas,MX,84.34,broken clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
483,Nara,JP,77.5,overcast clouds,34.6851,135.8049,Guesthouse Nara Komachi
485,Sao Felix Do Xingu,BR,85.66,broken clouds,-6.6447,-51.995,Rio Xingu Camping
492,Guerrero Negro,MX,79.81,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
494,Arcata,US,79.63,clear sky,40.8665,-124.0828,"Hampton Inn & Suites Arcata, CA"
497,Lom Sak,TH,76.89,broken clouds,16.7798,101.2422,บ้านวรฉัตร หล่มสัก
501,Shenjiamen,CN,76.91,broken clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
505,Samarai,PG,81.27,scattered clouds,-10.6167,150.6667,Nuli Sapi
509,Ambon,ID,77.14,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
512,Urucara,BR,87.19,broken clouds,-2.5364,-57.76,Pousada Maria Bonita
514,Puerto Escondido,MX,83.16,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
515,Tateyama,JP,78.1,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
517,Samana,DO,84.16,broken clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
518,Grants,US,88.03,clear sky,35.1473,-107.8514,"Motel 6 Grants, NM"
519,Acarau,BR,78.12,clear sky,-2.8856,-40.12,castelo pizzaria
524,Ribas Do Rio Pardo,BR,81.59,scattered clouds,-20.4431,-53.7592,Pousada Avenida
525,Isangel,VU,82.51,scattered clouds,-19.55,169.2667,Tanna Lodge
526,Mongo,TD,75.72,light rain,12.1844,18.693,Résidences du Programme FIDA
527,Eyl,SO,76.91,scattered clouds,7.9803,49.8164,Amiin Hotel
529,Zaraza,VE,77.59,overcast clouds,9.3503,-65.3245,Hotel Zaraza
532,Naco,MX,84.29,overcast clouds,31.3347,-109.9483,Motel Colonial
534,Robertson,US,82.38,few clouds,36.5167,-86.8667,Hampton Inn Springfield
535,Teknaf,BD,79.66,overcast clouds,20.8624,92.3058,Forestry Guesthouse
537,Luganville,VU,83.17,clear sky,-15.5333,167.1667,The Espiritu Hotel
538,Bull Savanna,JM,79.56,broken clouds,17.8868,-77.5902,Big Red's
541,Panama City,PA,80.29,scattered clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
542,San Patricio,US,89.92,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
545,Port Moresby,PG,80.02,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
546,San Roque,ES,76.03,overcast clouds,36.2107,-5.3842,Hotel Guadacorte Park
548,Alugan,PH,81.77,overcast clouds,12.2188,125.4808,JM Lodge
554,Maine-Soroa,NE,81.82,light rain,13.2114,12.0241,Complexe
558,Fortuna,US,80.1,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
561,Kupang,ID,76.84,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
563,Phuket,TH,85.12,few clouds,8.0,98.25,The Surin
564,Oyama,JP,78.58,light rain,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
568,Balkanabat,TM,79.86,overcast clouds,39.5108,54.3671,Nebitchi Hotel
570,Sioux Lookout,CA,75.27,few clouds,50.1001,-91.917,Knobby's Fly-In Camps
574,Chirongui,YT,75.13,clear sky,-12.9319,45.1483,La Villa Mahatsara
575,Vila Franca Do Campo,PT,79.2,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
580,Aswan,EG,85.01,clear sky,24.0934,32.907,Nuba Nile
584,Porto Tolle,IT,75.16,overcast clouds,44.9497,12.3245,Klaus sas di Boscolo Claudio & c.
589,Nileshwar,IN,76.82,overcast clouds,12.25,75.1,Neeleshwar Hermitage
591,Katobu,ID,76.41,broken clouds,-4.9408,122.5276,La Ode Husein
594,Santiago Del Estero,AR,77.63,broken clouds,-27.7951,-64.2615,Apartamentos Castelli 90
595,Urumqi,CN,76.15,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
596,Lagunas,PE,84.72,broken clouds,-5.2269,-75.6753,Hospedaje Eco
598,Hearst,CA,75.45,clear sky,49.6835,-83.6665,Companion
603,Escanaba,US,75.51,few clouds,45.7453,-87.0646,Sunset Lodge
